SKU,Parent Product SKU,Product Name,Category,Price Type,Unit,Tax-Exclusive Price,Min Price,Max Price,Cost,Supplier Price,Product Tags,Inventory Type,Track Stock Levels,Barcode,Variant Name 1,Variant Value 1,"Gembira Momento_Quantity","Gembira Momento_Warning Stock Level","Gembira Momento_Ideal Stock Level",Supplier,Tax Name,Store Credits,Kitchen Station,Product Id,Online Price,Online Discounted Price,Product Description
#Required(Must be unique),,Required,Optional,Required(Fixed/Variable/Unit),Required if the price type is Unit. Leave this field empty if the price Type is either Fixed or Variable.,Optional; 0 by default,Optional (This field can only be modified when pricing type is variable); The value should be Tax-Exclusive as per your Display Price setting in the BackOffice.,Optional (This field can only be modified when pricing type is variable); The value should be Tax-Exclusive as per your Display Price setting in the BackOffice.,Optional,Optional(this field can only be modified if 'Fix Supplier Price' is selected for at least one store in Account Settings),Optional(Use ; to separate multiple tags),Optional(Simple/Composite/Serialized; Simple by default if tracking inventory),Required; Enter 0 to disable; 1 to enable,Optional(Must be unique if specified),,,Optional; 0 by default if tracking inventory,Optional,Optional,Optional(Use ; to separate multiple suppliers),Optional,Optional,Optional; Leave it blank for Default Kitchen Station; Enter 'Do Not Print Kitchen Docket' to not print kitchen docket,Please DO NOT TOUCH this column; as it contains each product's unique reference ID. Doing so will result in unsuccessful import for all products listed in this sheet.,Optional; The value should be Tax-Exclusive as per your Display Price setting in the BackOffice.,Optional; The value should be Tax-Exclusive as per your Display Price setting in the BackOffice.,Optional
"SH0035","","118 TOWER","Decoration","Fixed","","49.00","","","12.00","","","Simple","1","","","","-1.00","","","Jeff","","","Do Not Print Kitchen Docket","69dc60e27bb1b80007962d42","","",""
"SH0024","","3D PHOTO POSTCARD","Postcard","Fixed","","12.00","","","7.80","","","Simple","1","","","","55.00","","","Mariari (Consignment)","","","Do Not Print Kitchen Docket","69dc60e27bb1b80007962cb3","","",""
"SH0037","","ASHTRAY","Decoration","Fixed","","39.00","","","8.50","","","Simple","1","","","","-6.00","","","Jeff","","","Do Not Print Kitchen Docket","69dc60e27bb1b80007962d5c","","",""
"","","Adapter","","Fixed","","19.00","","","4.00","","","","0","","","","","","","Jeff","","","Do Not Print Kitchen Docket","6a3bb0aa512d3100080f37ee","","",""
"SH0085","","BADMINTON RACKET BAG","Bag","Fixed","","49.00","","","25.00","","","Simple","1","","","","8.00","","","Petronas Shop","","","Do Not Print Kitchen Docket","69dc60e47bb1b80007962fcc","","",""
"SH0080","","BAG AKAR","Bag","Fixed","","59.00","","","16.00","","","Simple","1","","","","","","","Lucy","","","","69dc60e37bb1b80007962f8b","","",""
"SH0004","","BATIK SHIRT (MEN)","Shirt","Fixed","","150.00","","","80.00","","","Simple","1","","","","13.00","","","Lucy","","","Do Not Print Kitchen Docket","69dc60e17bb1b80007962baf","","",""
"SH0027","","BELL","Decoration","Fixed","","29.00","","","6.50","","","Simple","1","","","","-28.00","","","Jeff","","","","69dc60e27bb1b80007962cda","","",""
"","","Bag (300)","Bag","Fixed","","300.00","","","195.00","","","","0","","","","","","","Beg Anyam Dibo (Consignment)","","","Do Not Print Kitchen Docket","6a2e4ed7d4cda400078c51c1","","",""
"","","Bag Anyam (189)","Bag","Fixed","","189.00","","","90.00","","","","0","","","","","","","Beg Anyam Dibo (Consignment)","","","Do Not Print Kitchen Docket","69e24277f0aea40007788edb","","",""
"","","Bag Rotan Handmade","Bag","Fixed","","280.00","","","","","","","0","","","","","","","Gembira","","","Do Not Print Kitchen Docket","69ee28aa8105f400074b910d","","",""
"","","Bag anyam (169)","","Fixed","","169.00","","","","","","","0","","","","","","","Beg Anyam Dibo (Consignment)","","","Do Not Print Kitchen Docket","6a27950a5d780500078b064b","","",""
"","","Bag anyam (229)","","Fixed","","229.00","","","","","","","0","","","","","","","Beg Anyam Dibo (Consignment)","","","Do Not Print Kitchen Docket","6a2794f1ed0c3100072848bb","","",""
"","","Batik Painting Kit","Stationary","Fixed","","20.00","","","10.00","","","","0","","","","","","","Gembira","","","Do Not Print Kitchen Docket","69fab76f9e9dc50007064d15","","",""
"","","Bracelet (10)","","Fixed","","10.00","","","2.50","","","","0","","","","","","","Gembira","","","Do Not Print Kitchen Docket","6a1af4e4cf8905000775cc01","","",""
"","","Bracelet (40)","","Fixed","","40.00","","","15.00","","","","0","","","","","","","Gembira","","","Do Not Print Kitchen Docket","6a1c01e1174ee00007121980","","",""
"SH0044","","CAP","Cap","Fixed","","29.00","","","7.50","","","Simple","1","","","","-22.00","","","Jeff","","","Do Not Print Kitchen Docket","69dc60e27bb1b80007962db7","","",""
"SH0051","","CAR FRAGRANCE","Fragrance","Fixed","","29.00","","","18.85","","","Simple","1","","","","","","","Mariari (Consignment)","","","Do Not Print Kitchen Docket","69dc60e27bb1b80007962e12","","",""
"SH0051-Eastern Oriental","SH0051","CAR FRAGRANCE(Eastern Oriental)","Fragrance","Fixed","","29.00","","","18.85","","","Simple","1","","Car Fragrance","Eastern Oriental","6.00","","","Mariari (Consignment)","","","Do Not Print Kitchen Docket","69dddd91e09cc100060b5377","","",""
"SH0051-Ocean Dawn","SH0051","CAR FRAGRANCE(Ocean Dawn)","Fragrance","Fixed","","29.00","","","18.85","","","Simple","1","","Car Fragrance","Ocean Dawn","15.00","","","Mariari (Consignment)","","","Do Not Print Kitchen Docket","69dddd91e09cc100060b5373","","",""
"SH0051-Summer Rain","SH0051","CAR FRAGRANCE(Summer Rain)","Fragrance","Fixed","","29.00","","","18.85","","","Simple","1","","Car Fragrance","Summer Rain","12.00","","","Mariari (Consignment)","","","Do Not Print Kitchen Docket","69dddd91e09cc100060b536e","","",""
"SH0055","","CARTOON KEYCHAIN","Keychain","Fixed","","8.00","","","2.00","","","Simple","1","","","","-66.00","","","Lucy","","","Do Not Print Kitchen Docket","69dc60e27bb1b80007962e46","","",""
"SH0043","","COPPER SHOT GLASS","Glass","Fixed","","49.00","","","16.00","","","Simple","1","","","","6.00","","","Jeff","","","Do Not Print Kitchen Docket","69dc60e27bb1b80007962daa","","",""
"SH0038","","COSTER","Decoration","Fixed","","59.00","","","17.00","","","Simple","1","","","","8.00","","","Jeff","","","Do Not Print Kitchen Docket","69dc60e27bb1b80007962d69","","",""
"","","Card Holder","Decoration","Fixed","","39.00","","","10.00","","","","0","","","","","","","Gembira","","","Do Not Print Kitchen Docket","6a3bb06ecbe3fe0007bbbe8c","","",""
"","","Dora Tiffin 2 Tier","","Fixed","","390.00","","","273.00","","","","0","","","","","","","Gembira","","","Do Not Print Kitchen Docket","6a016d0f8de7b3000744b7ea","","",""
"SH0050","","ENAMEL PIN M SIZE","Enamel Pin","Fixed","","28.00","","","18.20","","","Simple","1","","","","","","","Mariari (Consignment)","","","Do Not Print Kitchen Docket","69dc60e27bb1b80007962e05","","",""
"SH0049","","ENAMEL PIN S SIZE","Enamel Pin","Fixed","","18.00","","","11.70","","","Simple","1","","","","","","","Mariari (Consignment)","","","Do Not Print Kitchen Docket","69dc60e27bb1b80007962df8","","",""
"SH0049-NASI LEMAK","SH0049","ENAMEL PIN S SIZE(NASI LEMAK)","Enamel Pin","Fixed","","18.00","","","11.70","","","Simple","1","","S SIZE","NASI LEMAK","-2.00","","","Mariari (Consignment)","","","Do Not Print Kitchen Docket","69dde24d767d48000722701d","","",""
"SH0049-SARAPAN PAGI","SH0049","ENAMEL PIN S SIZE(SARAPAN PAGI)","Enamel Pin","Fixed","","18.00","","","11.70","","","Simple","1","","S SIZE","SARAPAN PAGI","-2.00","","","Mariari (Consignment)","","","Do Not Print Kitchen Docket","69dde24d767d480007227020","","",""
"SH0049-SATE","SH0049","ENAMEL PIN S SIZE(SATE)","Enamel Pin","Fixed","","18.00","","","11.70","","","Simple","1","","S SIZE","SATE","-2.00","","","Mariari (Consignment)","","","Do Not Print Kitchen Docket","69dde24d767d480007227023","","",""
"SH0049-TEH TARIK","SH0049","ENAMEL PIN S SIZE(TEH TARIK)","Enamel Pin","Fixed","","18.00","","","11.70","","","Simple","1","","S SIZE","TEH TARIK","-5.00","","","Mariari (Consignment)","","","Do Not Print Kitchen Docket","69dde24d767d480007227019","","",""
"SH0049-WAN TAN MEE","SH0049","ENAMEL PIN S SIZE(WAN TAN MEE)","Enamel Pin","Fixed","","18.00","","","11.70","","","Simple","1","","S SIZE","WAN TAN MEE","-5.00","","","Mariari (Consignment)","","","Do Not Print Kitchen Docket","69dde24d767d480007227026","","",""
"SH0050-BOSS TEA","SH0050","ENAMEL PIN(BOSS TEA)","Enamel Pin","Fixed","","28.00","","","18.20","","","Simple","1","","M SIZE","BOSS TEA","","","","Mariari (Consignment)","","","Do Not Print Kitchen Docket","69dde1ab85caf60008479de7","","",""
"SH0050-I LOVE KL","SH0050","ENAMEL PIN(I LOVE KL)","Enamel Pin","Fixed","","28.00","","","18.20","","","Simple","1","","M SIZE","I LOVE KL","-5.00","","","Mariari (Consignment)","","","Do Not Print Kitchen Docket","69dde1ab85caf60008479de1","","",""
"SH0050-JALAN SEHALA","SH0050","ENAMEL PIN(JALAN SEHALA)","Enamel Pin","Fixed","","28.00","","","18.20","","","Simple","1","","M SIZE","JALAN SEHALA","","","","Mariari (Consignment)","","","Do Not Print Kitchen Docket","69dde1ab85caf60008479dd5","","",""
"SH0050-MAGI CUP","SH0050","ENAMEL PIN(MAGI CUP)","Enamel Pin","Fixed","","28.00","","","18.20","","","Simple","1","","M SIZE","MAGI CUP","","","","Mariari (Consignment)","","","Do Not Print Kitchen Docket","69dde1ab85caf60008479ddb","","",""
"SH0050-MEOW LO","SH0050","ENAMEL PIN(MEOW LO)","Enamel Pin","Fixed","","28.00","","","18.20","","","Simple","1","","M SIZE","MEOW LO","-2.00","","","Mariari (Consignment)","","","Do Not Print Kitchen Docket","69dde1ab85caf60008479de4","","",""
"SH0050-NO RACIST","SH0050","ENAMEL PIN(NO RACIST)","Enamel Pin","Fixed","","28.00","","","18.20","","","Simple","1","","M SIZE","NO RACIST","-4.00","","","Mariari (Consignment)","","","Do Not Print Kitchen Docket","69dde1ab85caf60008479dcf","","",""
"SH0050-POS MALAYSIA","SH0050","ENAMEL PIN(POS MALAYSIA)","Enamel Pin","Fixed","","28.00","","","18.20","","","Simple","1","","M SIZE","POS MALAYSIA","-3.00","","","Mariari (Consignment)","","","Do Not Print Kitchen Docket","69dde1ab85caf60008479dd2","","",""
"SH0050-RAMLY BURGER","SH0050","ENAMEL PIN(RAMLY BURGER)","Enamel Pin","Fixed","","28.00","","","18.20","","","Simple","1","","M SIZE","RAMLY BURGER","","","","Mariari (Consignment)","","","Do Not Print Kitchen Docket","69dde1ab85caf60008479dd8","","",""
"SH0050-ROTI CANAI","SH0050","ENAMEL PIN(ROTI CANAI)","Enamel Pin","Fixed","","28.00","","","18.20","","","Simple","1","","M SIZE","ROTI CANAI","","","","Mariari (Consignment)","","","Do Not Print Kitchen Docket","69dde1ab85caf60008479dde","","",""
"SH0050-STOP","SH0050","ENAMEL PIN(STOP)","Enamel Pin","Fixed","","28.00","","","18.20","","","Simple","1","","M SIZE","STOP","-3.00","","","Mariari (Consignment)","","","Do Not Print Kitchen Docket","69dde1ab85caf60008479dcc","","",""
"SH0019","","FLIGHT TICKET MAGNET","FM GM","Fixed","","15.00","","","6.50","","","Simple","1","","","","34.00","","","Mariari (Outright)","","","Do Not Print Kitchen Docket","69dc60e17bb1b80007962c72","","",""
"SH0016","","FM PS SALOMA","FM PS","Fixed","","19.00","","","1.90","","","Simple","1","","","","-37.00","","","Jeff","","","","69dc60e17bb1b80007962c4b","","",""
"SH0007","","FM PS STEEL","FM PS","Fixed","","19.00","","","2.30","","","Simple","1","","","","-281.00","","","Jeff","","","Do Not Print Kitchen Docket","69dc60e17bb1b80007962bd6","","",""
"","","Fan (29)","","Fixed","","29.00","","","5.50","","","","0","","","","","","","Gembira","","","Do Not Print Kitchen Docket","69ef5be37e4833000671b527","","",""
"SH0069","","GENUINE LEATHER CARD HOLDER","Genuine Leather","Fixed","","45.00","","","20.00","","","Simple","1","","","","-1.00","","","Rusli Leather","","","","69dc60e37bb1b80007962efc","","",""
"SH0059","","GENUINE LEATHER KEYCHAIN 1","Genuine Leather","Fixed","","29.00","","","10.00","","","Simple","1","","","","-1.00","","","Rusli Leather","","","Do Not Print Kitchen Docket","69dc60e37bb1b80007962e7a","","",""
"SH0060","","GENUINE LEATHER KEYCHAIN 2","Genuine Leather","Fixed","","29.00","","","10.00","","","Simple","1","","","","-4.00","","","Rusli Leather","","","Do Not Print Kitchen Docket","69dc60e37bb1b80007962e87","","",""
"SH0061","","GENUINE LEATHER KEYCHAIN 3","Genuine Leather","Fixed","","29.00","","","10.00","","","Simple","1","","","","-1.00","","","Rusli Leather","","","Do Not Print Kitchen Docket","69dc60e37bb1b80007962e94","","",""
"SH0062","","GENUINE LEATHER KEYCHAIN 4","Genuine Leather","Fixed","","29.00","","","10.00","","","Simple","1","","","","-5.00","","","Rusli Leather","","","Do Not Print Kitchen Docket","69dc60e37bb1b80007962ea1","","",""
"SH0063","","GENUINE LEATHER KEYCHAIN 5","Genuine Leather","Fixed","","35.00","","","12.00","","","Simple","1","","","","-1.00","","","Rusli Leather","","","Do Not Print Kitchen Docket","69dc60e37bb1b80007962eae","","",""
"SH0064","","GENUINE LEATHER KEYCHAIN 6","Genuine Leather","Fixed","","35.00","","","12.00","","","Simple","1","","","","-2.00","","","Rusli Leather","","","Do Not Print Kitchen Docket","69dc60e37bb1b80007962ebb","","",""
"SH0065","","GENUINE LEATHER KEYCHAIN 7","Genuine Leather","Fixed","","39.00","","","13.00","","","Simple","1","","","","-2.00","","","Rusli Leather","","","Do Not Print Kitchen Docket","69dc60e37bb1b80007962ec8","","",""
"SH0066","","GENUINE LEATHER KEYCHAIN 8","Genuine Leather","Fixed","","39.00","","","13.00","","","Simple","1","","","","-5.00","","","Rusli Leather","","","Do Not Print Kitchen Docket","69dc60e37bb1b80007962ed5","","",""
"SH0067","","GENUINE LEATHER KEYCHAIN 9","Genuine Leather","Fixed","","39.00","","","13.00","","","Simple","1","","","","-2.00","","","Rusli Leather","","","Do Not Print Kitchen Docket","69dc60e37bb1b80007962ee2","","",""
"SH0068","","GENUINE LEATHER LUGGAGE TAG","Genuine Leather","Fixed","","35.00","","","15.00","","","Simple","1","","","","9.00","","","Rusli Leather","","","Do Not Print Kitchen Docket","69dc60e37bb1b80007962eef","","",""
"","","Gembira Bag","Bag","Fixed","","3.00","","","1.70","","","","0","","","","","","","Gembira","","","Do Not Print Kitchen Docket","6a05c64c5dd1670007f46182","","",""
"SH0079","","JOTEBAG (35)","Bag","Fixed","","35.00","","","8.50","","","Simple","1","","","","2.00","","","Jeff","","","Do Not Print Kitchen Docket","69dc60e37bb1b80007962f7e","","",""
"SH0056","","KEYCHAIN GM","Keychain","Fixed","","10.00","","","5.00","","","Simple","1","","","","-8.00","","","Mariari (Outright)","","","","69dc60e37bb1b80007962e53","","",""
"SH0053","","KEYCHAIN PS (5)","Keychain","Fixed","","5.00","","","1.00","","","Simple","1","","","","-209.00","","","Jeff","","","","69dc60e27bb1b80007962e2c","","",""
"SH0054","","KEYCHAIN PS (6)","Keychain","Fixed","","6.00","","","1.66","","","Simple","1","","","","","","","Jeff","","","Do Not Print Kitchen Docket","69dc60e27bb1b80007962e39","","",""
"","","KL Tower Pewter","Decoration","Fixed","","39.00","","","10.00","","","","0","","","","","","","Jeff","","","Do Not Print Kitchen Docket","6a3bb28c5af8b00007e5dd70","","",""
"SH0013","","KLCC MAGNET","FM PS","Fixed","","15.00","","","2.20","","","Simple","1","","","","-14.00","","","Jeff","","","","69dc60e17bb1b80007962c24","","",""
"SH0012","","KLCC MAGNET (OPENER)","FM PS","Fixed","","19.00","","","2.40","","","Simple","1","","","","-52.00","","","Jeff","","","","69dc60e17bb1b80007962c17","","",""
"","","Kaftan","","Fixed","","79.00","","","40.00","","","","0","","","","","","","Kaftan (Consignment)","","","Do Not Print Kitchen Docket","6a0415613a478d0007fe9aca","","",""
"","","Lucy Tiffin 3 Tier","","Fixed","","390.00","","","273.00","","","","0","","","","","","","Tiffin Jeiwa (Consignment)","","","Do Not Print Kitchen Docket","6a016def0c458a0007785634","","",""
"SH0006","","MAGNET 3D","FM PS","Fixed","","19.00","","","3.00","","","Simple","1","","","","-99.00","","","Jeff","","","Do Not Print Kitchen Docket","69dc60e17bb1b80007962bc9","","",""
