"P.O ID","Created Date","Estimated Date of Arrival","Completion Date","Supplier","Target Store","No.","Product Name","SKU","Serial No.","Category","Ordered Quantity","Received Quantity","Cost (RM)","SubTotal (RM)","Total (RM)","Status","Notes","Requested By","Cancelled By","Cancelled Date","Completed By"
"PO0005","07/13/2026 20:12","07/13/2026","07/13/2026 20:24","Jeff","Gembira Momento","","","","","","","","","","2154.40","Completed","",". Jang","","",". Jang"
"PO0005","07/13/2026 20:12","07/13/2026","07/13/2026 20:24","Jeff","Gembira Momento","1","PS Keychain (5)","SH0053","","Keychain","360","360","1.00","360.00","","Completed","",". Jang","","",". Jang"
"PO0005","07/13/2026 20:12","07/13/2026","07/13/2026 20:24","Jeff","Gembira Momento","2","PS KLCC Pewter M Metal (39)","SHA00024","","Pewter & Steel Deco","10","10","8.50","85.00","","Completed","",". Jang","","",". Jang"
"PO0005","07/13/2026 20:12","07/13/2026","07/13/2026 20:24","Jeff","Gembira Momento","3","PS KLCC Pewter M Wood (49)","SH0033","","Pewter & Steel Deco","10","10","10.00","100.00","","Completed","",". Jang","","",". Jang"
"PO0005","07/13/2026 20:12","07/13/2026","07/13/2026 20:24","Jeff","Gembira Momento","4","PS KLCC Pewter 9"" (99)","SHA00061","","Pewter & Steel Deco","4","4","39.00","156.00","","Completed","",". Jang","","",". Jang"
"PO0005","07/13/2026 20:12","07/13/2026","07/13/2026 20:24","Jeff","Gembira Momento","5","PS KLCC Solar Rotating (69)","SHA00062","","Pewter & Steel Deco","5","5","25.00","125.00","","Completed","",". Jang","","",". Jang"
"PO0005","07/13/2026 20:12","07/13/2026","07/13/2026 20:24","Jeff","Gembira Momento","6","PS Batu Cave Pewter (39)","SHA00063","","Pewter & Steel Deco","3","3","12.00","36.00","","Completed","",". Jang","","",". Jang"
"PO0005","07/13/2026 20:12","07/13/2026","07/13/2026 20:24","Jeff","Gembira Momento","7","PS Pineapple Pewter (39)","SHA00064","","Pewter & Steel Deco","3","3","10.00","30.00","","Completed","",". Jang","","",". Jang"
"PO0005","07/13/2026 20:12","07/13/2026","07/13/2026 20:24","Jeff","Gembira Momento","8","PS Steel Bell (29)","SH0027","","Pewter & Steel Deco","5","5","6.00","30.00","","Completed","",". Jang","","",". Jang"
"PO0005","07/13/2026 20:12","07/13/2026","07/13/2026 20:24","Jeff","Gembira Momento","9","Steel Plate Rainbow (39)","SHA00002","","Pewter & Steel Deco","5","5","15.00","75.00","","Completed","",". Jang","","",". Jang"
"PO0005","07/13/2026 20:12","07/13/2026","07/13/2026 20:24","Jeff","Gembira Momento","10","PEN HOLDER WITH TOWER","SH0029","","Pewter & Steel Deco","4","4","18.00","72.00","","Completed","",". Jang","","",". Jang"
"PO0005","07/13/2026 20:12","07/13/2026","07/13/2026 20:24","Jeff","Gembira Momento","11","Magnet Packet (30)","SH0014","","Fridge Magnet","10","10","6.00","60.00","","Completed","",". Jang","","",". Jang"
"PO0005","07/13/2026 20:12","07/13/2026","07/13/2026 20:24","Jeff","Gembira Momento","12","Magnet Packet (25)","SHA00017","","Fridge Magnet","30","30","5.00","150.00","","Completed","",". Jang","","",". Jang"
"PO0005","07/13/2026 20:12","07/13/2026","07/13/2026 20:24","Jeff","Gembira Momento","13","PS Purse XL (30)","SHA00070","","Bag","12","12","6.08","73.00","","Completed","",". Jang","","",". Jang"
"PO0005","07/13/2026 20:12","07/13/2026","07/13/2026 20:24","Jeff","Gembira Momento","14","PS Sling Bag (50)","SHA00065","","Bag","8","8","16.00","128.00","","Completed","",". Jang","","",". Jang"
"PO0005","07/13/2026 20:12","07/13/2026","07/13/2026 20:24","Jeff","Gembira Momento","15","PS Batik Coin Purse (10)","SHA00069","","Bag","27","27","1.83","49.50","","Completed","",". Jang","","",". Jang"
"PO0005","07/13/2026 20:12","07/13/2026","07/13/2026 20:24","Jeff","Gembira Momento","16","PS Totebag White (20)","SHA00066","","Bag","15","15","3.70","55.50","","Completed","",". Jang","","",". Jang"
"PO0005","07/13/2026 20:12","07/13/2026","07/13/2026 20:24","Jeff","Gembira Momento","17","PS Tote Truly Bag (35)","SHA00067","","Bag","30","30","6.00","180.00","","Completed","",". Jang","","",". Jang"
"PO0005","07/13/2026 20:12","07/13/2026","07/13/2026 20:24","Jeff","Gembira Momento","18","PS Canvas Bag (15)","SHA00068","","Bag","26","26","3.50","91.00","","Completed","",". Jang","","",". Jang"
"PO0005","07/13/2026 20:12","07/13/2026","07/13/2026 20:24","Jeff","Gembira Momento","19","PS F Magnet (15)","SH0008","","Fridge Magnet","118","118","2.30","271.40","","Completed","",". Jang","","",". Jang"
"PO0005","07/13/2026 20:12","07/13/2026","07/13/2026 20:24","Jeff","Gembira Momento","20","PS F Magnet (15)","SH0008","","Fridge Magnet","15","15","1.80","27.00","","Completed","",". Jang","","",". Jang"
"PO0004","07/06/2026 21:38","07/06/2026","07/06/2026 21:40","Lucy","Gembira Momento","","","","","","","","","","460.00","Completed","",". Jang","","",". Jang"
"PO0004","07/06/2026 21:38","07/06/2026","07/06/2026 21:40","Lucy","Gembira Momento","1","LC T-Shirt Adult (White) (25)","SH0001","","Attire","15","15","9.00","135.00","","Completed","",". Jang","","",". Jang"
"PO0004","07/06/2026 21:38","07/06/2026","07/06/2026 21:40","Lucy","Gembira Momento","2","LC T-Shirt (Kids)","SH0005","","Attire","30","30","6.50","195.00","","Completed","",". Jang","","",". Jang"
"PO0004","07/06/2026 21:38","07/06/2026","07/06/2026 21:40","Lucy","Gembira Momento","3","LC Cartoon Keychain (10)","SH0055","","Keychain","65","65","2.00","130.00","","Completed","",". Jang","","",". Jang"
"PO0003","07/06/2026 18:38","07/06/2026","07/06/2026 19:50","Jeff","Gembira Momento","","","","","","","","","","1378.80","Completed","",". Jang","","",". Jang"
"PO0003","07/06/2026 18:38","07/06/2026","07/06/2026 19:50","Jeff","Gembira Momento","1","Ceramic Ashtray (39)","SHA00007","","Glass, Ceramic & Other Deco","10","10","9.50","95.00","","Completed","",". Jang","","",". Jang"
"PO0003","07/06/2026 18:38","07/06/2026","07/06/2026 19:50","Jeff","Gembira Momento","2","KLCC MAGNET","SH0013","","Fridge Magnet","30","30","2.20","66.00","","Completed","",". Jang","","",". Jang"
"PO0003","07/06/2026 18:38","07/06/2026","07/06/2026 19:50","Jeff","Gembira Momento","3","PS Patches MALAYSIA (6)","SHA00006","","Bagdes & Stickers","27","27","2.50","67.50","","Completed","",". Jang","","",". Jang"
"PO0003","07/06/2026 18:38","07/06/2026","07/06/2026 19:50","Jeff","Gembira Momento","4","PS Purse L (20)","SHA00001","","Bag","24","24","5.50","132.00","","Completed","",". Jang","","",". Jang"
"PO0003","07/06/2026 18:38","07/06/2026","07/06/2026 19:50","Jeff","Gembira Momento","5","PS Purse M (15)","SH0086","","Bag","24","24","4.00","96.00","","Completed","",". Jang","","",". Jang"
"PO0003","07/06/2026 18:38","07/06/2026","07/06/2026 19:50","Jeff","Gembira Momento","6","Large Ceramic Plate (49)","SHA00003","","Glass, Ceramic & Other Deco","4","4","16.00","64.00","","Completed","",". Jang","","",". Jang"
"PO0003","07/06/2026 18:38","07/06/2026","07/06/2026 19:50","Jeff","Gembira Momento","7","Medium Ceramic Plate (39)","SH0036","","Glass, Ceramic & Other Deco","6","6","8.50","51.00","","Completed","",". Jang","","",". Jang"
"PO0003","07/06/2026 18:38","07/06/2026","07/06/2026 19:50","Jeff","Gembira Momento","8","PS Cap","SH0044","","Attire","10","10","7.50","75.00","","Completed","",". Jang","","",". Jang"
"PO0003","07/06/2026 18:38","07/06/2026","07/06/2026 19:50","Jeff","Gembira Momento","9","PS Keychain (5)","SH0053","","Keychain","312","312","1.00","312.00","","Completed","",". Jang","","",". Jang"
"PO0003","07/06/2026 18:38","07/06/2026","07/06/2026 19:50","Jeff","Gembira Momento","10","PS F Magnet (19)","SH0007","","Fridge Magnet","36","36","2.80","100.80","","Completed","",". Jang","","",". Jang"
"PO0003","07/06/2026 18:38","07/06/2026","07/06/2026 19:50","Jeff","Gembira Momento","11","PS F Magnet (19)","SH0007","","Fridge Magnet","35","35","3.00","105.00","","Completed","",". Jang","","",". Jang"
"PO0003","07/06/2026 18:38","07/06/2026","07/06/2026 19:50","Jeff","Gembira Momento","12","PS KL Coin Purse (15)","SHA00004","","Bag","20","20","3.00","60.00","","Completed","",". Jang","","",". Jang"
"PO0003","07/06/2026 18:38","07/06/2026","07/06/2026 19:50","Jeff","Gembira Momento","13","PS Pencil Bag (25)","SHA00005","","Bag","7","7","7.50","52.50","","Completed","",". Jang","","",". Jang"
"PO0003","07/06/2026 18:38","07/06/2026","07/06/2026 19:50","Jeff","Gembira Momento","14","Umbrella (25)","SH0045","","Umbrella","12","12","8.50","102.00","","Completed","",". Jang","","",". Jang"
"PO0002","07/06/2026 15:58","07/06/2026","07/06/2026 15:58","Jeff","Gembira Momento","","","","","","","","","","211.60","Completed","",". Jang","","",". Jang"
"PO0002","07/06/2026 15:58","07/06/2026","07/06/2026 15:58","Jeff","Gembira Momento","1","PS F Magnet (15)","SH0008","","Fridge Magnet","92","92","2.30","211.60","","Completed","",". Jang","","",". Jang"
