"Store","Register #","Open Time","Close Time","Open By","Close By","Total Net","Total Deposits","Cash Sales","Cash Deposits","Cash Refunds","Cash Rounded","Cash Net","Credit Card Sales","Credit Card Deposits","Credit Card Refunds","Credit Card Net","Debit Card Sales","Debit Card Deposits","Debit Card Refunds","Debit Card Net","QR Sales","QR Deposits","QR Refunds","QR Net","SR Tax: 0% ","Total Tax","Cancelled Transactions","Cancelled Amount","Discounted Transactions","Discounted Amount","Pay Out","Pay Out Details","Pay In","Pay In Details","Opening Amount","Expected Drawer","Actual Drawer","Cash Drawer Over/Short","QR Order and Pay Sales","Beep Cashback Discount"
"Gembira Momento","1","06/03/2026 10:42","06/03/2026 23:21",". Ayuni",". Putri","440.00","0.00","85.00","0.00","0.00","0.00","85.00","99.00","0.00","0.00","99.00","256.00","0.00","0.00","256.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","5","51.00","15.00","15: Cash Withdrawal","0.00","","33.00","103.00","103.00","0.00","0.00","0.00"
"Gembira Momento","1","06/04/2026 10:39","06/04/2026 23:00",". Ayuni",". Putri","602.00","0.00","123.00","0.00","0.00","0.00","123.00","203.00","0.00","0.00","203.00","197.00","0.00","0.00","197.00","79.00","0.00","0.00","79.00","0.00","0.00","0","0.00","3","22.00","10.00","10: Cash Withdrawal","0.00","","103.00","216.00","216.00","0.00","0.00","0.00"
"Gembira Momento","1","06/05/2026 10:56","06/05/2026 23:00","_ Faris",". Ain","460.00","0.00","49.00","0.00","0.00","0.00","49.00","50.00","0.00","0.00","50.00","291.00","0.00","0.00","291.00","70.00","0.00","0.00","70.00","0.00","0.00","0","0.00","5","50.00","0.00","","1.00","1: Add Change","46.00","96.00","96.00","0.00","0.00","0.00"
"Gembira Momento","1","06/06/2026 10:48","06/06/2026 23:32",". Ain","_ Faris","399.00","0.00","167.00","0.00","0.00","0.00","167.00","78.00","0.00","0.00","78.00","151.00","0.00","0.00","151.00","3.00","0.00","0.00","3.00","0.00","0.00","1","15.00","2","12.00","50.00","50: Cash Withdrawal","0.00","","96.00","213.00","213.00","0.00","0.00","0.00"
"Gembira Momento","1","06/07/2026 12:06","06/07/2026 23:00",". Putri",". Putri","667.00","0.00","435.00","0.00","0.00","0.00","435.00","149.00","0.00","0.00","149.00","56.00","0.00","0.00","56.00","27.00","0.00","0.00","27.00","0.00","0.00","0","0.00","4","46.00","50.00","50: Cash Withdrawal","50.00","50: Add Change","63.00","498.00","498.00","0.00","0.00","0.00"
"Gembira Momento","1","06/08/2026 11:03","06/08/2026 23:12","_ Faris",". Putri","447.00","0.00","288.00","0.00","0.00","0.00","288.00","110.00","0.00","0.00","110.00","19.00","0.00","0.00","19.00","30.00","0.00","0.00","30.00","0.00","0.00","0","0.00","2","25.00","13.00","13: Cash Withdrawal","0.00","","48.00","323.00","323.00","0.00","0.00","0.00"
"Gembira Momento","1","06/09/2026 11:10","06/09/2026 23:07",". Ayuni","_ Faris","956.00","0.00","235.00","0.00","0.00","0.00","235.00","0.00","0.00","0.00","0.00","187.00","0.00","0.00","187.00","534.00","0.00","0.00","534.00","0.00","0.00","0","0.00","4","88.00","100.00","100: Cash Withdrawal","0.00","","61.00","196.00","196.00","0.00","0.00","0.00"
"Gembira Momento","1","06/10/2026 10:55","06/10/2026 23:02","_ Faris",". Putri","1700.00","0.00","652.00","0.00","0.00","0.00","652.00","636.00","0.00","0.00","636.00","247.00","0.00","0.00","247.00","165.00","0.00","0.00","165.00","0.00","0.00","1","57.00","10","86.00","0.00","","0.00","","196.00","848.00","848.00","0.00","0.00","0.00"
"Gembira Momento","1","06/11/2026 11:02","06/11/2026 23:13","_ Faris",". Putri","1120.00","0.00","693.00","0.00","0.00","0.00","693.00","148.00","0.00","0.00","148.00","244.00","0.00","0.00","244.00","35.00","0.00","0.00","35.00","0.00","0.00","0","0.00","8","81.00","0.00","","0.00","","96.00","789.00","789.00","0.00","0.00","0.00"
"Gembira Momento","1","06/12/2026 10:46","06/12/2026 23:00",". Putri",". Putri","417.00","0.00","169.00","0.00","0.00","0.00","169.00","0.00","0.00","0.00","0.00","89.00","0.00","0.00","89.00","159.00","0.00","0.00","159.00","0.00","0.00","0","0.00","3","19.00","20.00","20: Cash Withdrawal","20.00","20: Add Change","104.00","273.00","273.00","0.00","0.00","0.00"
"Gembira Momento","1","06/13/2026 10:55","06/13/2026 23:33",". Ayuni",". Putri","1007.00","0.00","286.00","0.00","0.00","0.00","286.00","94.00","0.00","0.00","94.00","274.00","0.00","0.00","274.00","353.00","0.00","0.00","353.00","0.00","0.00","1","10.00","5","39.00","0.00","","0.00","","105.00","391.00","391.00","0.00","0.00","0.00"
"Gembira Momento","1","06/14/2026 10:54","06/14/2026 23:01",". Ain",". Putri","864.00","0.00","110.00","0.00","0.00","0.00","110.00","20.00","0.00","0.00","20.00","601.00","0.00","0.00","601.00","133.00","0.00","0.00","133.00","0.00","0.00","0","0.00","4","35.00","0.00","","0.00","","81.00","191.00","191.00","0.00","0.00","0.00"
"Gembira Momento","1","06/15/2026 10:43","06/15/2026 23:03",". Ayuni","_ Faris","1013.00","0.00","132.00","0.00","0.00","0.00","132.00","273.00","0.00","0.00","273.00","464.00","0.00","0.00","464.00","144.00","0.00","0.00","144.00","0.00","0.00","0","0.00","9","127.00","0.00","","0.00","","41.00","173.00","173.00","0.00","0.00","0.00"
"Gembira Momento","1","06/16/2026 11:10","06/16/2026 23:09","_ Faris",". Putri","709.00","0.00","418.00","0.00","0.00","0.00","418.00","20.00","0.00","0.00","20.00","20.00","0.00","0.00","20.00","251.00","0.00","0.00","251.00","0.00","0.00","2","44.00","7","95.00","0.00","","0.00","","173.00","591.00","591.00","0.00","0.00","0.00"
"Gembira Momento","1","06/17/2026 11:03","06/17/2026 23:08","_ Faris",". Putri","476.00","0.00","118.00","0.00","0.00","0.00","118.00","190.00","0.00","0.00","190.00","123.00","0.00","0.00","123.00","45.00","0.00","0.00","45.00","0.00","0.00","1","15.00","8","51.00","18.00","18: Cash Withdrawal","0.00","","103.00","203.00","203.00","0.00","0.00","0.00"
"Gembira Momento","1","06/18/2026 10:48","06/18/2026 23:09",". Ayuni",". Ain","606.00","0.00","331.00","0.00","0.00","0.00","331.00","121.00","0.00","0.00","121.00","85.00","0.00","0.00","85.00","69.00","0.00","0.00","69.00","0.00","0.00","2","62.00","4","28.00","0.00","","0.00","","161.00","492.00","492.00","0.00","0.00","0.00"
"Gembira Momento","1","06/19/2026 10:54","06/19/2026 23:11","_ Faris",". Putri","775.00","0.00","336.00","0.00","0.00","0.00","336.00","54.00","0.00","0.00","54.00","286.00","0.00","0.00","286.00","99.00","0.00","0.00","99.00","0.00","0.00","1","15.00","11","79.00","0.00","","0.00","","92.00","428.00","428.00","0.00","0.00","0.00"
"Gembira Momento","1","06/20/2026 10:49","06/20/2026 23:18",". Putri",". Putri","695.00","0.00","348.00","0.00","0.00","0.00","348.00","47.00","0.00","0.00","47.00","243.00","0.00","0.00","243.00","57.00","0.00","0.00","57.00","0.00","0.00","0","0.00","6","36.00","30.00","30: Cash Withdrawal","30.00","30: Add Change","98.00","446.00","446.00","0.00","0.00","0.00"
"Gembira Momento","1","06/21/2026 11:10","06/21/2026 23:00",". Ain",". Putri","730.00","0.00","550.00","0.00","0.00","0.00","550.00","80.00","0.00","0.00","80.00","5.00","0.00","0.00","5.00","95.00","0.00","0.00","95.00","0.00","0.00","0","0.00","7","81.00","0.00","","0.00","","70.00","620.00","620.00","0.00","0.00","0.00"
"Gembira Momento","1","06/22/2026 11:08","06/22/2026 23:04",". Putri","_ Faris","575.00","0.00","135.00","0.00","0.00","0.00","135.00","181.00","0.00","0.00","181.00","204.00","0.00","0.00","204.00","55.00","0.00","0.00","55.00","0.00","0.00","0","0.00","4","19.00","0.00","","0.00","","80.00","215.00","214.00","-1.00","0.00","0.00"
"Gembira Momento","1","06/23/2026 11:05","06/23/2026 23:00","_ Faris",". Putri","553.00","0.00","91.00","0.00","0.00","0.00","91.00","398.00","0.00","0.00","398.00","0.00","0.00","0.00","0.00","64.00","0.00","0.00","64.00","0.00","0.00","0","0.00","7","56.00","0.00","","0.00","","64.00","155.00","155.00","0.00","0.00","0.00"
"Gembira Momento","1","06/24/2026 10:57","06/24/2026 23:08",". Putri",". Putri","512.00","0.00","35.00","0.00","0.00","0.00","35.00","15.00","0.00","0.00","15.00","407.00","0.00","0.00","407.00","55.00","0.00","0.00","55.00","0.00","0.00","1","15.00","3","27.00","15.20","14.6: Cash Withdrawal; 0.6: Cash Withdrawal","0.20","0.2: Add Change","55.00","75.00","75.00","0.00","0.00","0.00"
"Gembira Momento","1","06/25/2026 11:02","06/25/2026 23:24","_ Faris","_ Faris","873.00","0.00","383.00","0.00","0.00","0.00","383.00","374.00","0.00","0.00","374.00","62.00","0.00","0.00","62.00","54.00","0.00","0.00","54.00","0.00","0.00","1","3.00","2","15.00","70.00","70: Cash Withdrawal","0.00","","22.00","335.00","335.00","0.00","0.00","0.00"
"Gembira Momento","1","06/26/2026 10:57","06/26/2026 23:13","_ Faris",". Putri","1248.50","0.00","625.00","0.00","0.00","0.00","625.00","115.00","0.00","0.00","115.00","508.50","0.00","0.00","508.50","0.00","0.00","0.00","0.00","0.00","0.00","4","351.00","11","135.50","0.00","","0.00","","35.00","660.00","660.00","0.00","0.00","0.00"
"Gembira Momento","1","06/27/2026 11:00","06/27/2026 23:17","_ Faris",". Putri","816.00","0.00","398.00","0.00","0.00","0.00","398.00","257.00","0.00","0.00","257.00","112.00","0.00","0.00","112.00","49.00","0.00","0.00","49.00","0.00","0.00","1","58.00","3","29.00","10.00","10: Cash Withdrawal","0.00","","46.00","434.00","434.00","0.00","0.00","0.00"
"Gembira Momento","1","06/28/2026 10:54","06/28/2026 23:00",". Putri",". Azra","500.00","0.00","289.00","0.00","0.00","0.00","289.00","0.00","0.00","0.00","0.00","211.00","0.00","0.00","211.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","3","38.00","0.00","","0.00","","35.00","324.00","324.00","0.00","0.00","0.00"
"Gembira Momento","1","06/29/2026 10:39","06/29/2026 23:01",". Putri",". Putri","1013.00","0.00","439.00","0.00","0.00","0.00","439.00","130.00","0.00","0.00","130.00","210.00","0.00","0.00","210.00","234.00","0.00","0.00","234.00","0.00","0.00","1","40.00","7","111.00","10.00","10: Cash Withdrawal","0.00","","45.00","474.00","474.00","0.00","0.00","0.00"
"Gembira Momento","1","06/30/2026 11:05","06/30/2026 23:00","_ Faris",". Putri","852.00","0.00","254.00","0.00","0.00","0.00","254.00","315.00","0.00","0.00","315.00","219.00","0.00","0.00","219.00","64.00","0.00","0.00","64.00","0.00","0.00","0","0.00","10","106.00","0.00","","0.00","","69.00","323.00","323.00","0.00","0.00","0.00"
"Gembira Momento","1","07/01/2026 11:14","07/01/2026 23:10",". Putri",". Putri","1620.00","0.00","230.00","0.00","0.00","0.00","230.00","1167.00","0.00","0.00","1167.00","153.00","0.00","0.00","153.00","70.00","0.00","0.00","70.00","0.00","0.00","3","598.00","7","93.00","0.00","","0.00","","28.00","258.00","258.00","0.00","0.00","0.00"
"Gembira Momento","1","07/02/2026 10:39","07/02/2026 23:26",". Putri","_ Faris","1330.00","0.00","769.00","0.00","0.00","0.00","769.00","180.00","0.00","0.00","180.00","169.00","0.00","0.00","169.00","212.00","0.00","0.00","212.00","0.00","0.00","0","0.00","5","60.00","2.00","2: Cash Withdrawal","0.00","","20.00","787.00","787.00","0.00","0.00","0.00"
"Gembira Momento","1","07/03/2026 10:42","07/03/2026 23:19","_ Faris",". Putri","1473.00","0.00","376.00","0.00","0.00","0.00","376.00","49.00","0.00","0.00","49.00","572.00","0.00","0.00","572.00","476.00","0.00","0.00","476.00","0.00","0.00","0","0.00","7","195.00","0.00","","0.00","","87.00","463.00","463.00","0.00","0.00","0.00"
"Gembira Momento","1","07/04/2026 11:08","07/04/2026 23:40",". Putri",". Putri","521.00","0.00","134.00","0.00","0.00","0.00","134.00","174.00","0.00","0.00","174.00","44.00","0.00","0.00","44.00","169.00","0.00","0.00","169.00","0.00","0.00","0","0.00","3","17.00","0.00","","50.00","50: Add Change","43.00","227.00","227.00","0.00","0.00","0.00"
"Gembira Momento","1","07/05/2026 10:59","07/05/2026 23:07","_ Faris",". Putri","548.00","0.00","141.00","0.00","0.00","0.00","141.00","69.00","0.00","0.00","69.00","338.00","0.00","0.00","338.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","2","25.00","68.00","68: Cash Withdrawal","0.00","","55.00","128.00","128.00","0.00","0.00","0.00"
"Gembira Momento","1","07/06/2026 11:14","07/06/2026 23:00",". Putri",". Putri","508.00","0.00","210.00","0.00","0.00","0.00","210.00","39.00","0.00","0.00","39.00","29.00","0.00","0.00","29.00","230.00","0.00","0.00","230.00","0.00","0.00","0","0.00","3","47.00","25.00","15: Cash Withdrawal; 10: Cash Withdrawal","0.00","","28.00","213.00","213.00","0.00","0.00","0.00"
"Gembira Momento","1","07/07/2026 10:56","07/07/2026 23:06","_ Faris",". Ain","802.00","0.00","120.00","0.00","0.00","0.00","120.00","322.00","0.00","0.00","322.00","79.00","0.00","0.00","79.00","281.00","0.00","0.00","281.00","0.00","0.00","0","0.00","8","96.00","50.00","50: Other Repair Signboard","0.00","","88.00","158.00","168.00","10.00","0.00","0.00"
"Gembira Momento","1","07/08/2026 13:11","07/08/2026 23:02",". Azra",". Azra","438.00","0.00","182.00","0.00","0.00","0.00","182.00","138.00","0.00","0.00","138.00","49.00","0.00","0.00","49.00","69.00","0.00","0.00","69.00","0.00","0.00","0","0.00","3","31.00","92.20","92.2: Buy Inventory","0.00","","168.00","257.80","258.00","0.20","0.00","0.00"
"Gembira Momento","1","07/09/2026 12:57","07/09/2026 23:04",". Putri",". Putri","1023.00","0.00","375.00","0.00","0.00","0.00","375.00","15.00","0.00","0.00","15.00","614.00","0.00","0.00","614.00","19.00","0.00","0.00","19.00","0.00","0.00","0","0.00","5","57.00","15.00","15: Cash Withdrawal","0.00","","58.00","418.00","418.00","0.00","0.00","0.00"
"Gembira Momento","1","07/10/2026 13:01","07/10/2026 23:13",". Putri",". Putri","1039.00","0.00","320.00","0.00","0.00","0.00","320.00","0.00","0.00","0.00","0.00","504.00","0.00","0.00","504.00","215.00","0.00","0.00","215.00","0.00","0.00","1","5.00","12","383.00","20.00","20: Cash Withdrawal","0.00","","55.00","355.00","355.00","0.00","0.00","0.00"
"Gembira Momento","1","07/11/2026 11:28","07/11/2026 23:21",". Ain",". Putri","1225.00","0.00","411.00","0.00","0.00","0.00","411.00","85.00","0.00","0.00","85.00","650.00","0.00","0.00","650.00","79.00","0.00","0.00","79.00","0.00","0.00","2","410.00","7","119.00","0.00","","0.00","","59.00","470.00","470.00","0.00","0.00","0.00"
"Gembira Momento","1","07/12/2026 10:54","07/12/2026 23:06",". Putri",". Putri","1378.00","0.00","680.00","0.00","0.00","0.00","680.00","115.00","0.00","0.00","115.00","352.00","0.00","0.00","352.00","231.00","0.00","0.00","231.00","0.00","0.00","5","452.00","16","384.00","10.00","10: Cash Withdrawal","0.00","","41.00","711.00","711.00","0.00","0.00","0.00"
"Gembira Momento","1","07/13/2026 12:51","07/13/2026 23:34",". Azra",". Putri","515.00","0.00","270.00","0.00","0.00","0.00","270.00","0.00","0.00","0.00","0.00","195.00","0.00","0.00","195.00","50.00","0.00","0.00","50.00","0.00","0.00","1","40.00","9","139.00","0.00","","0.00","","44.00","314.00","314.00","0.00","0.00","0.00"
"Gembira Momento","1","07/14/2026 12:44","07/14/2026 23:11",". Putri",". Putri","811.00","0.00","334.00","0.00","0.00","0.00","334.00","30.00","0.00","0.00","30.00","249.00","0.00","0.00","249.00","198.00","0.00","0.00","198.00","0.00","0.00","0","0.00","10","153.00","32.00","22: Cash Withdrawal; 10: Cash Withdrawal","40.00","40: Add Change","84.00","426.00","426.00","0.00","0.00","0.00"
"Gembira Momento","1","07/15/2026 13:14","07/15/2026 23:00",". Putri",". Putri","1433.00","0.00","348.00","0.00","0.00","0.00","348.00","19.00","0.00","0.00","19.00","951.00","0.00","0.00","951.00","115.00","0.00","0.00","115.00","0.00","0.00","1","30.00","14","255.00","0.00","","0.00","","78.00","426.00","426.00","0.00","0.00","0.00"
"Gembira Momento","1","07/16/2026 12:52","07/16/2026 23:05",". Azra",". Ain","807.00","0.00","303.00","0.00","0.00","0.00","303.00","15.00","0.00","0.00","15.00","265.00","0.00","0.00","265.00","224.00","0.00","0.00","224.00","0.00","0.00","0","0.00","11","146.00","0.00","","0.00","","47.00","350.00","350.00","0.00","0.00","0.00"
"Gembira Momento","1","07/17/2026 12:51","07/17/2026 23:01",". Putri",". Putri","797.00","0.00","355.00","0.00","0.00","0.00","355.00","205.00","0.00","0.00","205.00","237.00","0.00","0.00","237.00","0.00","0.00","0.00","0.00","0.00","0.00","1","40.00","11","142.00","0.00","","0.00","","70.00","425.00","425.00","0.00","0.00","0.00"
"Gembira Momento","1","07/18/2026 13:16","07/18/2026 23:05",". Putri",". Putri","1042.00","0.00","241.00","0.00","0.00","0.00","241.00","135.00","0.00","0.00","135.00","559.00","0.00","0.00","559.00","107.00","0.00","0.00","107.00","0.00","0.00","1","25.00","13","247.00","30.00","30: Cash Withdrawal","20.00","20: Add Change","90.00","321.00","321.00","0.00","0.00","0.00"
"Gembira Momento","1","07/19/2026 10:44","07/19/2026 23:00",". Ain",". Putri","1044.00","0.00","528.00","0.00","0.00","0.00","528.00","87.00","0.00","0.00","87.00","173.00","0.00","0.00","173.00","256.00","0.00","0.00","256.00","0.00","0.00","1","30.00","18","229.00","0.00","","0.00","","90.00","618.00","618.00","0.00","0.00","0.00"
"Gembira Momento","1","07/20/2026 13:08","07/20/2026 23:23","_ Faris",". Ain","1047.00","0.00","670.00","0.00","0.00","0.00","670.00","45.00","0.00","0.00","45.00","220.00","0.00","0.00","220.00","112.00","0.00","0.00","112.00","0.00","0.00","0","0.00","15","277.00","0.00","","0.00","","100.00","770.00","770.00","0.00","0.00","0.00"
"Gembira Momento","1","07/21/2026 13:13","07/21/2026 23:00",". Ell",". Putri","724.00","0.00","302.00","0.00","0.00","0.00","302.00","0.00","0.00","0.00","0.00","147.00","0.00","0.00","147.00","275.00","0.00","0.00","275.00","0.00","0.00","0","0.00","12","202.00","0.00","","0.00","","70.00","372.00","372.00","0.00","0.00","0.00"
"Gembira Momento","1","07/22/2026 13:13","07/22/2026 23:09",". Putri",". Ain","1440.00","0.00","829.00","0.00","0.00","0.00","829.00","180.00","0.00","0.00","180.00","337.00","0.00","0.00","337.00","94.00","0.00","0.00","94.00","0.00","0.00","4","79.00","11","178.00","0.00","","0.00","","72.00","901.00","836.00","-65.00","0.00","0.00"
"Gembira Momento","1","07/23/2026 12:41","07/23/2026 23:39",". Putri",". Putri","1131.00","0.00","566.00","0.00","0.00","0.00","566.00","0.00","0.00","0.00","0.00","425.00","0.00","0.00","425.00","140.00","0.00","0.00","140.00","0.00","0.00","0","0.00","10","271.00","0.00","","0.00","","86.00","652.00","652.00","0.00","0.00","0.00"
